sampleMetadata	RawFile	Class	Groups	Type
A_1	X1_P1_Rep1.mzML	Sample	A	keep
A_2	X3_P1_Rep1.mzML	Sample	A	keep
B_1	X4_P1_Rep1.mzML	Sample	B	keep
A_3	X6_P1_Rep1.mzML	Sample	A	keep
A_4	X7_P1_Rep1.mzML	Sample	A	keep
A_5	X8_P1_Rep1.mzML	Sample	A	keep
B_2	X10_P1_Rep1.mzML	Sample	B	keep
A_6	X11_P1_Rep1.mzML	Sample	A	keep
B_3	X12_P1_Rep1.mzML	Sample	B	keep
B_4	X13_P1_Rep1.mzML	Sample	B	keep
A_7	X15_P1_Rep1.mzML	Sample	A	keep
B_5	X16_P1_Rep1.mzML	Sample	B	keep
A_8	X17_P1_Rep1.mzML	Sample	A	keep
A_9	X18_P1_Rep1.mzML	Sample	A	keep
A_10	X19_P1_Rep1.mzML	Sample	A	keep
A_11	X20_P1_Rep1.mzML	Sample	A	keep
A_12	X22_P1_Rep1.mzML	Sample	A	keep
A_13	X23_P1_Rep1.mzML	Sample	A	keep
B_6	X25_P1_Rep1.mzML	Sample	B	keep
A_14	X27_P1_Rep1.mzML	Sample	A	keep
B_7	X30_P1_Rep1.mzML	Sample	B	keep
A_15	X31_P1_Rep1.mzML	Sample	A	keep
A_16	X33_P1_Rep1.mzML	Sample	A	keep
B_8	X34_P1_Rep1.mzML	Sample	B	keep
A_17	X35_P1_Rep1.mzML	Sample	A	keep
B_9	X37_P1_Rep1.mzML	Sample	B	keep
A_18	X39_P1_Rep1.mzML	Sample	A	keep
A_19	X40_P1_Rep1.mzML	Sample	A	keep
A_20	X43_P1_Rep1.mzML	Sample	A	keep
A_21	X44_P1_Rep1.mzML	Sample	A	keep
A_22	X45_P1_Rep1.mzML	Sample	A	keep
A_23	X46_P1_Rep1.mzML	Sample	A	keep
A_24	X47_P1_Rep1.mzML	Sample	A	keep
A_25	X48_P1_Rep1.mzML	Sample	A	keep
A_26	X50_P1_Rep1.mzML	Sample	A	keep
B_10	X54_P1_Rep1.mzML	Sample	B	keep
A_27	X55_P1_Rep1.mzML	Sample	A	keep
B_11	X60_P1_Rep1.mzML	Sample	B	keep
A_28	X61_P1_Rep1.mzML	Sample	A	keep
B_12	X62_P1_Rep1.mzML	Sample	B	keep
B_13	X63_P1_Rep1.mzML	Sample	B	keep
A_29	X64_P1_Rep1.mzML	Sample	A	keep
A_30	X66_P1_Rep1.mzML	Sample	A	keep
B_14	X67_P1_Rep1.mzML	Sample	B	keep
A_31	X68_P1_Rep1.mzML	Sample	A	keep
