dataMatrix	A_1	A_2	B_1	A_3	A_4	A_5	B_2	A_6	B_3	B_4	A_7	B_5	A_8	A_9	A_10	A_11	A_12	A_13	B_6	A_14	B_7	A_15	A_16	B_8	A_17	B_9	A_18	A_19	A_20	A_21	A_22	A_23	A_24	A_25	A_26	B_10	A_27	B_11	A_28	B_12	B_13	A_29	A_30	B_14	A_31	B_15	B_16	B_17	A_32	A_33	A_34	B_18	A_35	B_19	A_36	A_37	A_38	B_20	A_39	A_40	A_41	A_42	B_21	B_22	B_23	A_43	A_44	A_45	A_46	B_24	A_47	B_25	A_48	B_26	A_49	A_50	A_51	A_52	A_53	B_27	A_54	A_55	A_56	A_57	B_28	A_58	A_59	B_29	A_60	A_61	A_62	B_30	A_63	A_64	A_65	A_66	B_31	A_67	B_32	B_33	A_68	A_69	B_34	A_70	B_35	B_36	B_37	B_38
variable_1	1327944.813	414303.8001	671753.3081	124177.5268	109036.1339	349135.5905	132519.2413	119695.1817	556780.9709	95928.25279	657539.4265	1011417.377	701829.3428	631496.469	746335.3634	550548.5523	442185.177	541454.9522	NA	124453.7501	144647.4297	340167.5181	534366.4537	584201.6292	134763.9163	132019.4725	1068884.395	553670.1698	798657.936	654018.9392	135829.5515	146555.1511	317779.4562	638946.2914	696083.6738	568603.99	565025.1252	940664.0638	552030.8073	120861.9071	423374.2767	140336.9213	121243.6163	410708.4649	722967.962	108575.897	149662.4026	127641.9993	668275.2646	474833.2336	442868.8624	743651.0399	671343.4318	382423.3432	248629.6642	1066781.666	628769.9	789963.799	546420.4115	299049.6173	619374.79	498455.2802	102933.7109	847080.6683	119327.9153	632639.4873	872713.6775	1851013.297	155944.0175	107795.3991	173869.4813	113014.0994	297073.1845	739766.4961	534899.2667	645095.1096	818759.1705	359873.337	445887.674	370074.6282	1036854.73	152717.744	105159.1312	136686.3861	242838.6274	551008.0963	NA	1216562.712	122406.9555	130406.487	498028.8597	123834.8277	914735.243	400083.6561	434576.0315	1246391.444	136347.0385	727913.4846	775629.1169	NA	676998.3822	142659.7998	997415.1515	149873.0456	132323.4937	658216.519	677177.7021	104228.9649
variable_2	220224.666	1577988.492	4772076.163	10387568.34	2070945.754	3700693.209	4245397.93	7095947.027	1589743.5	7919438.361	12547713.62	10678801.36	282564.6301	6027816.833	2807416.758	959671.528	881086.6316	942518.4242	6832000.502	8656345.51	8391977.27	1162875.533	99216.15082	550838.6791	8211376.838	10039204.78	9452583.676	3009602.186	11271935.03	5977971.455	669272.3259	8097926.412	17775229.6	9942239.201	6660692.225	1706341.534	8778019.989	14297046.59	3866930.966	631237.224	507799.8852	9317323.67	617065.8237	6284634.36	8831852.559	3605201.439	15440927.88	6835482.752	6278025.628	7506842.598	12761776.61	492317.7271	486628.0722	517614.2337	1392598.032	9887272.354	1751356.32	6332966.285	5168215.515	641385.2747	347449.4657	653496.9096	4373605.335	9580009.392	7445187.328	11643798.31	10893726.97	5005981.715	10301530.85	1309308.948	564869.5542	10788310.35	8214370.819	5002673.642	1205940.072	3156354.745	9586040.358	2413072.992	1363408.656	1244973.242	8517424.018	11185464.95	3455550.666	7913374.799	3439586.251	1108269.057	276276.2686	301333.1143	8710877.916	8512202.318	6667198.619	7303531.13	NA	273075.3949	773821.1711	11734297.18	8411130.781	1347062.589	10786651.66	830930.6728	5078127.772	11814870.44	3037947.778	5882177.585	11958774.74	2717392.139	3043120.098	14003362.07
variable_3	5972841.562	6195262.074	6513878.292	5489930.582	5685780.694	8021767.538	5585489.72	3041336.352	4152169.751	5451362.142	5707006.44	6799324.911	5975431.625	7038496.22	6490902.471	2804121.041	7003281.976	2726862.339	8676806.921	4480588.095	7850667.714	6813957.094	4147311.869	4642248.949	6082762.868	7379994.165	6092016.104	6883147.216	11050438.73	7153864.586	3638061.787	6701851.984	5761339.867	9107615.65	8123734.802	6385244.881	3776363.136	7428370.447	6602673.571	4940389.199	7782282.986	6906079.091	4573390.004	8769125.554	6222032.733	6557782.56	4506222.352	3288228.563	8422354.663	8204197.942	4783188.201	4938026.042	4607116.424	3693929.781	6982620.702	5579857.785	5239061.458	6485998.025	9936529.428	6571624.22	8301238.709	5305097.648	3730616.54	5377734.477	3652207.768	7631210.928	7049763.443	7910075.761	7690046.958	3585247.356	6474197.676	3917557.689	5772515.252	4003047.525	10265700.64	7072664.872	5606209.63	7607776.123	4707599.327	7393918.672	11334158.87	7300621.56	6649177.003	8120431.445	7791743.033	4642856.096	4381073.767	5152207.928	5064072.013	4901056.709	5513980.498	7714656.884	8611247.048	9110631.071	4086299.232	9096404.957	7066191.174	4598279.428	4868060.683	6379776.198	5756416.219	7063945.043	6560057.134	9165073.466	7066921.247	4661263.66	5098042.096	5345203.227
variable_4	5256894.119	11551791.66	8569174.131	NA	2853116.84	1779325.181	26942388.05	2726881.014	3443062.498	1226981.232	6558574.962	2955968.784	5713787.413	2503447.481	2664818.318	7571560.936	4574654.302	1802280.343	15367773.86	13821958.53	9610553.9	9743068.704	11820468.28	19834323.31	6420335.897	2230152.293	NA	NA	82946603.62	11404644.17	2579569.385	3894534.836	11192199.54	2387010.082	5558202.985	3836921.107	5309431.888	1966574.736	13450039.24	4048309.434	7250511.322	12269268.47	NA	4945774.316	NA	6348827.304	28782065.88	1966121.745	4573120.693	4015520.025	NA	19741804.13	2254108.593	2736457.187	NA	NA	1504955.209	10467230.52	7350316.986	2387681.853	1297863.194	71805972.82	22613936.57	11455333	NA	NA	2617752.668	18283426.61	7134876.276	6595508.063	36261771.63	2483583.922	1326917.945	1306659.627	32383397.88	15994561.17	1307570.858	6139529.116	NA	7215129.117	49764134.99	2149031.101	1387685.789	4466079.409	8093503.362	24089542.05	8374181.86	13004814.14	6377697.049	5123415.379	5366954.567	6037092.85	NA	9855224.618	NA	NA	14840238.81	2478765.321	19971997.41	16751421.5	12519023.94	2993935.679	9460244.773	1626363.497	5764615.039	13081682.69	7835371.394	29287872.14
variable_5	23103516.75	26128754.44	46222995.36	12051334.3	16270956.81	48104058.58	14205363.18	11943384.45	15291346.7	12446414.8	20213695.72	29113266.12	20777390.49	33030735.4	33463726.44	16661225.8	27354214.8	13454401.37	33579216.06	14022724.88	32933856.12	29497929.65	14402998.74	15188026.19	22978530.71	19310319.13	24178077.94	34056437.04	37750513.25	24563662.86	14919034.8	36666163.09	18486696.12	40754373.26	14467293.77	13089394.32	14455863.17	19772213.29	12071749.5	19536451.74	25628985.51	45739320.79	16559795.81	34898828.07	40920936.62	15929593.75	16977078.88	12734618.55	30233942.72	30332584.97	13815027.3	19315316.76	22556355.05	20757274.86	29025657.88	19709491.49	17245159.32	36043079.98	50166122.49	33372329.47	40332027.29	10049740.88	12954037.99	21403586.98	12170086.78	28962553.19	14596828.9	32212325.61	38021446.04	17707945.97	24458608.94	18901963.18	17887799.25	10405254.19	19920043.26	28214935.32	17134881.22	31329786.45	14509164.88	21722604.57	52354901.39	40587722.57	36139944.56	39460490.07	36605457.8	12400529.9	26877987.75	16711807.66	15948538.43	14922894.87	11953588.55	30015517.09	32559080.48	43591241.26	23902947.21	30834375.64	24873256.19	22146846.03	15333111.13	13802763.91	17758670.53	19412075.16	19410967.07	20207287.47	28642299.75	13764078.35	14077708.13	14368404.76
variable_6	220970961.5	234376820.3	133637574.2	312561516.8	399291762	128143289.1	236445910.3	178843049.7	221284286.9	176002133.8	103706888.4	234206025.5	248098834.8	205629781.5	90869453.39	224811699.7	256771222.7	406984158.6	144490420	203037521	208862726.3	186517986.9	285191826.3	219836592.8	261491930.1	298154463.8	252948321.8	219686169.7	256213725.1	188963829.5	275491227	162665515.7	164818919.1	278649417.8	230131441.8	243869636.5	244261359.3	166996131.3	184034078	224892514.9	171751077.2	181855102.4	250583349.1	175414448.2	197746699.4	197708601.6	180053314.5	152496840.4	205995200.9	191660325.6	200865805.5	315927355.6	195888007.2	149438457.5	105928040.2	317885672.2	308664145.6	114629194.7	203661253.6	274883618.2	296806320.1	276993653.8	242904731.1	171356674.6	215287515.6	243205862.2	224065893.7	231847540.8	300234683.2	221566446.3	245819409.1	250209347.5	304342579.7	97698083.74	161577118.5	202982254.6	287487068.6	208986110.1	373784410.1	192514594.4	263478124.5	236832792.8	174436194.8	259694872.4	246957705.9	242165664.8	254548006.8	328860886.4	201730399.5	242837292.4	265435466.1	276080299.8	205021376.2	240410534.3	260788304.2	283257584.1	312361577.5	324645954	189456492.1	285048347.1	269330483.9	242526575.5	273450170	225815816.3	251641298.7	178472969	364239607.8	219090360.8
variable_7	10793069.27	10920376.93	10469006.12	5768985.459	5714376.872	11882340.63	4045080.996	4097316.38	4770083.632	5591337.888	4498089.056	9433476.638	6733528.771	10347632.89	9724044.391	4860468.445	12145542.87	4421386.87	11554618.38	4757629.721	13784627.73	11651396.41	5229029.825	7286014.981	11693343.91	5045957.282	6721702.503	11390986.49	9984203.925	7927722.843	5044240.574	10449134.8	3846585.489	13901687.22	12958776.21	4608423.81	6008463.617	7586862.269	4922823.121	5939315.382	10474038.64	10111566.92	5432877.698	9143567.158	10169290.77	6735123.684	4999268.698	3674988.219	16745674.69	10863834.42	6557259.993	7373044.266	5719605.448	4825184.833	12842195	6660222.75	7115054.076	15089871.8	15487827.26	15232614.17	16374882.9	6072216.996	5127176.244	8300256.126	4700781.853	17266682.3	7179826.988	9116682.303	13618105.24	5174438.908	6348580.292	4478996.675	6462262.48	2627305.905	4928916.123	11859186.06	4843162.772	11927436.94	5731851.687	8785782.946	14943663.05	11293809.21	13132229.91	15653504.28	13006718.14	4034873.048	6432939.405	5709149.032	5591588.678	7942528.809	4430952.577	11356428.76	13130660.96	12221071.79	5231882.218	13736257	10124954.44	6534978.746	4160794.98	5178249.407	6410198.975	13316059.75	5138147.885	15317051.73	10032630.97	5226201.933	4919486.457	6426130.62
variable_8	33870182.31	20769260.01	24603885.38	25943023.94	24737260.02	19437622.18	28644756.88	16988149.41	31131297.39	28048470.69	24366535.69	26579419.11	31500824.74	21341744.86	23204105.49	41909290.41	27178957.23	40043411.57	26407387.69	29459723.39	34549310.73	42873219.82	38185571.15	50639247.83	31203329.58	30576445.63	25988945.95	18544045.49	26236557.77	44840940.09	29531965.37	30561341	27650954.28	29599316.29	23539508.54	21127282.3	17335109.31	24970072.08	21418750.82	30849213.23	29725083.89	18098490.5	15795297.46	20342263.5	17333961.47	25770262.46	25012154.91	15972669.74	18299281.01	16501659.21	12467197.67	23489222.8	12342895.18	17079755.44	12343649.61	16784160.7	12272943.3	17783353.92	15656457.92	24059544.08	41589046.76	52555751.57	19436795.77	56320470.57	50378798.52	47722898.66	35866831.02	36485129.16	60516074.67	68789822.69	62651012.29	56558390.95	53168253.1	40120330.33	30370902.98	48430615.3	13552764.88	33990116.74	36607699.19	42861175.6	69455733.79	69857769.3	41372944.67	39510001.68	8241066.392	17904900.56	19024484.76	18636446.14	15476192.12	35096015.77	34469278.88	11041556.16	33233234.14	11612699.45	5966122.685	14201327.52	14278801.71	12881075.46	44868325.45	17571592.88	9394543.205	15815602.59	13593182.98	8686710.289	8623660.057	11501442.83	14559432.23	15885064.51
variable_9	209063760	227395068.8	79808316.02	122792900.5	134156915.6	144987488.3	68363952.6	115844112.2	82064466.87	157531854.3	181613995	208996138.2	113688319.8	212384312.4	68739857.75	109880380.1	112702630.9	82100431.25	178796864.7	180779290.8	89404629.85	217711582.5	176975424.2	194428204.4	290540168.7	123441221	174348033.9	236616773.4	265940035.8	224033947.9	119500405.2	203153265.5	146525137.5	93739567.21	213349715	179974496.8	156624998.5	292773747.1	166095987	138793255.4	112464475.8	189297369.9	66144727.14	119298575.3	300251828.3	131021718.8	140501046.1	82245138.23	299078468	197586322.1	211024104.2	145925377.1	163666239.7	166318154.4	194275521.6	155029412	142542114	205864475.2	273469448.2	266358038.3	113678612.3	156303150.5	105684467.3	100653641.2	116180415.5	260927722.7	175455352.8	168195634.9	226188509.9	124609632.8	195359356.8	124674715	130221608.2	91314452.11	348416677.8	199292595.4	236667050.2	201780082.1	139477417.6	225749422.9	157456822.3	223343019.3	113192064.9	265553705.3	103449884	68764843.99	172350241.9	140476037.9	160848613.5	183526153.3	142352021.5	112960330	254083596	130253655.5	107127289.3	288609501.6	190805471.2	211556026.8	104205214.1	154277088.9	144440695.1	247934562.1	156092930.7	224366857.2	189395658.5	167543348.2	154117319.6	119031114.1
variable_10	1298774.349	4605908.805	1516088.788	6060553.007	2380624.45	3258271.164	10854382.31	4386459.775	2615481.838	7948949.099	6540438.034	5296025.978	9878503.368	1488029.061	3916779.547	2270159.012	4160132.064	540453.819	2809573.241	2481874.408	1637853.058	4431319.932	9979112.575	NA	3858789.673	8561644.111	3165545.749	982038.2289	4672302.547	2880672.252	10469946.59	4559613.091	133790.464	3574648.326	3818129.723	3845488.125	6469919.817	2287368.629	3689041.458	NA	5397791.993	3810745.102	8543348.369	1118221.725	3394954.697	11163990.75	9348620.937	4741629.225	2345032.436	1466015.327	9782484.56	10928238.02	8614335.391	7188210.528	7008318.867	2738265.192	9435268.774	3063673.136	3289487.366	3979077.994	3613938.759	8200732.555	2195081.066	1840157.029	4045551.768	2168532.301	5565524.747	3568660.284	5004238.931	10594994.74	NA	12511421.6	404256.4216	3795681.933	8783585.308	2504998.707	5790119.253	3559978.841	11050793.98	3506383.864	4147465.872	2775223.245	2097015.174	3898644.515	4124792.826	623593.6112	488292.8243	9279697.417	3244790.667	4495079.986	9425846.795	3934505.989	3961558.602	1434021.654	9335168.686	2718777.327	4599539.922	9021178.168	6742658.076	11559105.44	10933287.92	4189190.14	2885114.141	3818902.888	4375061.373	24141.87357	10558466.93	7606748.443
