variableMetadata	parentMZ	parentRT	X	parentMZ.1	parentRT.1	Identifier	InChI
variable_1	76.0397	15.7455396	2665	76.0397	15.7455396	6	NA
variable_2	81.0453	17.875998	1280	81.0453	17.875998	4	NA
variable_3	90.0554	51.4388532	3235	90.0554	51.4388532	28	NA
variable_4	96.0448	73.617762	7732	96.0448	73.617762	4	NA
variable_5	113.0347	56.2129278	4685	113.0347	56.2129278	4	NA
variable_6	114.0665	36.9367728	876	114.0665	36.9367728	4	NA
variable_7	115.0505	46.4988828	4781	115.0505	46.4988828	3	NA
variable_8	116.0709	16.4306418	1443	116.0709	16.4306418	7	NA
variable_9	118.0866	45.3901326	5752	118.0866	45.3901326	118	NA
variable_10	119.0342	64.408728	6975	119.0342	64.408728	30	NA
variable_11	120.0656	41.7272238	1247	120.0656	41.7272238	4	NA
variable_12	126.0663	15.28134	4321	126.0663	15.28134	4	NA
variable_13	127.0504	87.790746	1458	127.0504	87.790746	3	NA
variable_14	130.0862	18.0792678	3279	130.0862	18.0792678	13	NA
variable_15	132.0768	37.2716238	4750	132.0768	37.2716238	5	NA
variable_16	132.1018	67.128684	544	132.1018	67.128684	4	NA
variable_17	137.0459	45.7362618	4728	137.0459	45.7362618	9	NA
variable_18	138.0551	40.7913678	131	138.0551	40.7913678	5	NA
variable_19	146.0925	44.21736	4269	146.0925	44.21736	4	NA
variable_20	147.1127	31.9734618	5704	147.1127	31.9734618	14	NA
variable_21	150.0585	45.2275848	2680	150.0585	45.2275848	3	NA
variable_22	154.0501	109.173552	7009	154.0501	109.173552	6	NA
variable_23	156.0765	46.3278792	1597	156.0765	46.3278792	16	NA
variable_24	161.0822	877.98102	8152	161.0822	877.98102	4	NA
variable_25	162.1124	35.605881	3538	162.1124	35.605881	4	NA
variable_26	166.0862	97.305342	4668	166.0862	97.305342	3	NA
variable_27	173.0446	53.725182	604	173.0446	53.725182	1	NA
variable_28	175.119	32.4378468	497	175.119	32.4378468	4	NA
variable_29	176.0708	418.39992	8094	176.0708	418.39992	48	NA
variable_30	177.1021	108.157674	7093	177.1021	108.157674	7	NA
variable_31	181.0721	225.078972	4889	181.0721	225.078972	5	NA
variable_32	182.0812	51.9384384	5709	182.0812	51.9384384	3	NA
variable_33	183.0844	52.3230834	8909	183.0844	52.3230834	64	NA
variable_34	189.1598	35.544684	4373	189.1598	35.544684	5	NA
variable_35	190.05	731.39922	3186	190.05	731.39922	3	NA
variable_36	195.0882	364.412616	6232	195.0882	364.412616	3	NA
variable_37	205.0973	179.4126	2959	205.0973	179.4126	40	NA
variable_38	209.092	80.250354	1267	209.092	80.250354	5	NA
variable_39	212.0919	79.210638	6857	212.0919	79.210638	4	NA
variable_40	219.1133	362.734206	6510	219.1133	362.734206	6	NA
variable_41	220.1181	172.21245	351	220.1181	172.21245	4	NA
variable_42	221.0921	67.994352	5014	221.0921	67.994352	5	NA
variable_43	243.0879	451.752372	3900	243.0879	451.752372	4	NA
variable_44	276.1437	62.150472	438	276.1437	62.150472	5	NA
variable_45	279.2323	693.7341	8343	279.2323	693.7341	6	NA
variable_46	282.1197	153.928092	5497	282.1197	153.928092	11	NA
variable_47	298.0971	313.66071	2702	298.0971	313.66071	5	NA
variable_48	361.2016	508.217742	5936	361.2016	508.217742	5	NA
variable_49	363.2201	732.79014	5882	363.2201	732.79014	3	NA
variable_50	377.1457	393.60822	2804	377.1457	393.60822	4	NA
variable_51	391.2844	849.20706	8335	391.2844	849.20706	4	NA
variable_52	431.3846	830.11386	7219	431.3846	830.11386	3	NA
variable_53	583.2555	620.92596	1702	583.2555	620.92596	1	NA
variable_54	115.0747	881.74764	198	115.0747	881.74764	10	NA
variable_55	119.0335	49.1019288	14173	119.0335	49.1019288	7	NA
variable_56	121.0279	22.1800542	11158	121.0279	22.1800542	18	NA
variable_57	128.0339	46.8075948	1149	128.0339	46.8075948	3	NA
variable_58	129.018	43.7770884	3368	129.018	43.7770884	7	NA
variable_59	129.054	212.503122	5082	129.054	212.503122	5	NA
variable_60	129.0905	896.07594	637	129.0905	896.07594	7	NA
variable_61	130.0496	59.790768	2464	130.0496	59.790768	4	NA
variable_62	131.0337	111.355392	12579	131.0337	111.355392	59	NA
variable_63	135.0438	188.392428	12970	135.0438	188.392428	3	NA
variable_64	137.0229	393.821256	3853	137.0229	393.821256	6	NA
variable_65	143.1064	878.02752	3000	143.1064	878.02752	9	NA
variable_66	144.0654	70.887762	1325	144.0654	70.887762	4	NA
variable_67	145.0493	189.438186	5112	145.0493	189.438186	25	NA
variable_68	145.0602	33.8295738	14121	145.0602	33.8295738	3	NA
variable_69	146.0447	39.4851978	11684	146.0447	39.4851978	124	NA
variable_70	147.0288	54.9053742	2200	147.0288	54.9053742	4	NA
variable_71	147.0648	64.981218	3486	147.0648	64.981218	4	NA
variable_72	149.0266	148.741776	12141	149.0266	148.741776	5	NA
variable_73	151.0247	56.1348492	7380	151.0247	56.1348492	4	NA
variable_74	151.0597	882.22482	13450	151.0597	882.22482	9	NA
variable_75	157.1219	875.6277	2972	157.1219	875.6277	6	NA
variable_76	160.0605	51.275946	8786	160.0605	51.275946	16	NA
variable_77	161.0444	63.235602	7586	161.0444	63.235602	5	NA
variable_78	165.0545	374.623458	12778	165.0545	374.623458	2	NA
variable_79	167.0196	42.2170752	14221	167.0196	42.2170752	4	NA
variable_80	171.1377	896.51382	13975	171.1377	896.51382	25	NA
variable_81	172.0967	323.389278	3414	172.0967	323.389278	3	NA
variable_82	173.0081	42.8258382	7068	173.0081	42.8258382	3	NA
variable_83	173.0806	397.384248	2392	173.0806	397.384248	4	NA
variable_84	175.0234	38.27016	9312	175.0234	38.27016	26	NA
variable_85	176.0374	147.1665	1603	176.0374	147.1665	4	NA
variable_86	178.05	277.597344	12690	178.05	277.597344	12	NA
variable_87	181.0493	174.854172	12946	181.0493	174.854172	24	NA
variable_88	187.0963	445.880742	5320	187.0963	445.880742	3	NA
variable_89	187.1331	599.391552	11447	187.1331	599.391552	3	NA
variable_90	188.0557	40.7307312	10771	188.0557	40.7307312	4	NA
variable_91	190.0536	224.09091	7163	190.0536	224.09091	9	NA
variable_92	191.0186	64.41864	14140	191.0186	64.41864	4	NA
variable_93	195.05	43.57626	9374	195.05	43.57626	17	NA
variable_94	199.1697	900.28152	14444	199.1697	900.28152	4	NA
variable_95	201.1122	486.512808	4904	201.1122	486.512808	4	NA
variable_96	202.1074	402.019938	222	202.1074	402.019938	3	NA
variable_97	212.0016	120.532758	10696	212.0016	120.532758	12	NA
variable_98	215.1644	573.784404	12508	215.1644	573.784404	5	NA
variable_99	243.0623	52.3573782	773	243.0623	52.3573782	4	NA
variable_100	244.9981	63.108756	1486	244.9981	63.108756	3	NA
variable_101	245.0928	398.191632	7061	245.0928	398.191632	2	NA
variable_102	267.0734	62.980662	1008	267.0734	62.980662	3	NA
variable_103	282.0847	71.749728	6274	282.0847	71.749728	6	NA
variable_104	283.0686	96.179358	7912	283.0686	96.179358	4	NA
variable_105	283.2646	860.02458	14364	283.2646	860.02458	3	NA
variable_106	288.119	57.6616122	8708	288.119	57.6616122	6	NA
variable_107	308.0987	41.3250102	14188	308.0987	41.3250102	4	NA
variable_108	328.0456	74.127348	5783	328.0456	74.127348	5	NA
variable_109	391.2839	617.81484	3034	391.2839	617.81484	5	NA
variable_110	448.3072	618.23358	11276	448.3072	618.23358	4	NA
variable_111	464.3018	573.228672	12117	464.3018	573.228672	6	NA
